date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:51	318/318	------	200	untouched ('OK')	text/plain	etag:W/%2267207107-2e8%22	https://www.gotur.kz/robots.txt		(from )
00:45:51	142676/142676	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:01%20GMT	https://www.gotur.kz/	./gotur-website/www.gotur.kz/index.html	(from )
00:45:51	146/146	------	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2019:01:08%20GMT	https://www.gotur.kz/appicon/ms-icon-144x144.png	./gotur-website/www.gotur.kz/appicon/ms-icon-144x144.6.delayed	(from https://www.gotur.kz/)
00:45:51	8816/8816	------	200	untouched ('')	image/png	etag:%2267207107-2270%22	https://www.gotur.kz/appicon/apple-touch-icon.png	./gotur-website/www.gotur.kz/appicon/apple-touch-icon.png	(from https://www.gotur.kz/)
00:45:51	15005/15005	------	200	untouched ('OK')	image/svg+xml	etag:%2267207107-3a9d%22	https://www.gotur.kz/appicon/safari-pinned-tab.svg	./gotur-website/www.gotur.kz/appicon/safari-pinned-tab.svg	(from https://www.gotur.kz/)
00:45:51	1938/1938	------	200	untouched ('')	image/png	etag:%2267207107-792%22	https://www.gotur.kz/appicon/favicon-32x32.png	./gotur-website/www.gotur.kz/appicon/favicon-32x32.png	(from https://www.gotur.kz/)
00:45:51	1169/1169	------	200	untouched ('')	image/png	etag:%2267207107-491%22	https://www.gotur.kz/appicon/favicon-16x16.png	./gotur-website/www.gotur.kz/appicon/favicon-16x16.png	(from https://www.gotur.kz/)
00:45:51	62729/62729	------	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2019:02:24%20GMT	https://www.gotur.kz/oteli/kazakhstan/anatorii-lechenie-spa.html	./gotur-website/www.gotur.kz/oteli/kazakhstan/anatorii-lechenie-spa.52.delayed	(from https://www.gotur.kz/)
00:45:51	15086/15086	------	200	untouched ('')	image/x-icon	etag:%2267207107-3aee%22	https://www.gotur.kz/appicon/favicon.ico	./gotur-website/www.gotur.kz/appicon/favicon.ico	(from https://www.gotur.kz/)
00:45:51	380/380	------	200	untouched ('')	application/json	etag:W/%2267207107-17c%22	https://www.gotur.kz/manifest.json	./gotur-website/www.gotur.kz/manifest.json	(from https://www.gotur.kz/)
00:45:51	36433/36433	------	200	untouched ('OK')	text/css	etag:W/%2267207107-8e51%22	https://www.gotur.kz/css/plugins/bootstrap.min.css?v=1730179335	./gotur-website/www.gotur.kz/css/plugins/bootstrap.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	55527/55527	------	200	untouched ('OK')	text/css	etag:W/%2267207107-d8e7%22	https://www.gotur.kz/dist/desktop/common/main/css/main.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/common/main/css/main.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	0/0	------	302	error ('Found')	text/html	date:Thu,%2005%20Dec%202024%2019:43:10%20GMT	https://www.gotur.kz/banner/go.html?id=98	./gotur-website/www.gotur.kz/banner/go.75acbf.delayed	(from https://www.gotur.kz/)
00:45:51	3498/3498	------	200	untouched ('OK')	text/css	etag:W/%2267207107-daa%22	https://www.gotur.kz/dist/desktop/pages/site-index/css/site-index.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/pages/site-index/css/site-index.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	522/522	------	200	untouched ('OK')	text/css	etag:W/%2267207107-20a%22	https://www.gotur.kz/dist/desktop/widgets/banner/css/banner.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/banner/css/banner.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	3168/3168	------	200	untouched ('OK')	text/css	etag:W/%2267207107-c60%22	https://www.gotur.kz/dist/desktop/widgets/countries-best-price/css/countries-best-price.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/countries-best-price/css/countries-best-price.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	5693/5693	------	200	untouched ('OK')	text/css	etag:W/%2267207107-163d%22	https://www.gotur.kz/dist/desktop/widgets/hot-slider/css/hot-slider.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/hot-slider/css/hot-slider.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	1971/1971	------	200	untouched ('OK')	text/css	etag:W/%2267207107-7b3%22	https://www.gotur.kz/dist/desktop/widgets/subscription-form/column/css/column.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/subscription-form/column/css/column.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	1462/1462	------	200	untouched ('OK')	text/css	etag:W/%2267207107-5b6%22	https://www.gotur.kz/dist/desktop/widgets/subscription-form/compact/css/compact.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/subscription-form/compact/css/compact.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	2690/2690	------	200	untouched ('OK')	text/css	etag:W/%2267207107-a82%22	https://www.gotur.kz/dist/desktop/pages/blog/css/blog.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/pages/blog/css/blog.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	27936/27936	------	200	untouched ('OK')	text/css	etag:W/%2267207107-6d20%22	https://www.gotur.kz/dist/desktop/widgets/find-form/form/css/form.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/find-form/form/css/form.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	8651/8651	------	200	untouched ('OK')	text/css	etag:W/%2267207107-21cb%22	https://www.gotur.kz/dist/desktop/widgets/callback/core/css/core.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/callback/core/css/core.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	710/710	------	200	untouched ('OK')	text/css	etag:W/%2267207107-2c6%22	https://www.gotur.kz/dist/desktop/widgets/subscription-form/leave-subscribe-modal/css/leave-subscribe-modal.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/subscription-form/leave-subscribe-modal/css/leave-subscribe-modal.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	5161/5161	------	200	untouched ('OK')	text/css	etag:W/%2267207107-1429%22	https://www.gotur.kz/dist/desktop/widgets/quiz/css/quiz.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/quiz/css/quiz.min2cc7.css	(from https://www.gotur.kz/)
00:45:51	169265/169265	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:22%20GMT	https://www.gotur.kz/tury/goryashchie-tury/almaty.html	./gotur-website/www.gotur.kz/tury/goryashchie-tury/almaty.html	(from https://www.gotur.kz/)
00:45:51	112432/112432	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:23%20GMT	https://www.gotur.kz/tury/iz-almaty.html	./gotur-website/www.gotur.kz/tury/iz-almaty.html	(from https://www.gotur.kz/)
00:45:51	76831/76831	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:24%20GMT	https://www.gotur.kz/poisk-tura.html	./gotur-website/www.gotur.kz/poisk-tura.html	(from https://www.gotur.kz/)
00:45:51	66337/66337	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:25%20GMT	https://www.gotur.kz/aviabilety.html	./gotur-website/www.gotur.kz/aviabilety.html	(from https://www.gotur.kz/)
00:45:51	98221/98221	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:26%20GMT	https://www.gotur.kz/tury.html	./gotur-website/www.gotur.kz/tury.html	(from https://www.gotur.kz/)
00:45:51	243671/243671	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:27%20GMT	https://www.gotur.kz/tury/turciya/almaty.html	./gotur-website/www.gotur.kz/tury/turciya/almaty.html	(from https://www.gotur.kz/)
00:45:51	223119/223119	------	200	untouched ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:28%20GMT	https://www.gotur.kz/tury/thailand/almaty.html	./gotur-website/www.gotur.kz/tury/thailand/almaty.html	(from https://www.gotur.kz/)
