date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:01	318/318	---MCZ	200	added ('OK')	text/plain	etag:W/%2267207107-2e8%22	https://www.gotur.kz/robots.txt		(from )
00:01:02	142676/142676	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Dec%202024%2019:01:01%20GMT	https://www.gotur.kz/	./gotur-website/www.gotur.kz/index.html	(from )
00:01:02	8816/8816	---M--	200	added ('OK')	image/png	etag:%2267207107-2270%22	https://www.gotur.kz/appicon/apple-touch-icon.png	./gotur-website/www.gotur.kz/appicon/apple-touch-icon.png	(from https://www.gotur.kz/)
00:01:03	15005/15005	---M--	200	added ('OK')	image/svg+xml	etag:%2267207107-3a9d%22	https://www.gotur.kz/appicon/safari-pinned-tab.svg	./gotur-website/www.gotur.kz/appicon/safari-pinned-tab.svg	(from https://www.gotur.kz/)
00:01:04	1938/1938	---M--	200	added ('OK')	image/png	etag:%2267207107-792%22	https://www.gotur.kz/appicon/favicon-32x32.png	./gotur-website/www.gotur.kz/appicon/favicon-32x32.png	(from https://www.gotur.kz/)
00:01:05	1169/1169	---M--	200	added ('OK')	image/png	etag:%2267207107-491%22	https://www.gotur.kz/appicon/favicon-16x16.png	./gotur-website/www.gotur.kz/appicon/favicon-16x16.png	(from https://www.gotur.kz/)
00:01:06	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%2267207107-3aee%22	https://www.gotur.kz/appicon/favicon.ico	./gotur-website/www.gotur.kz/appicon/favicon.ico	(from https://www.gotur.kz/)
00:01:07	380/380	---MCZ	200	added ('OK')	application/json	etag:W/%2267207107-17c%22	https://www.gotur.kz/manifest.json	./gotur-website/www.gotur.kz/manifest.json	(from https://www.gotur.kz/)
00:01:08	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Dec%202024%2019:01:08%20GMT	https://www.gotur.kz/appicon/ms-icon-144x144.png	./gotur-website/www.gotur.kz/appicon/ms-icon-144x144.png	(from https://www.gotur.kz/)
00:01:10	36433/36433	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-8e51%22	https://www.gotur.kz/css/plugins/bootstrap.min.css?v=1730179335	./gotur-website/www.gotur.kz/css/plugins/bootstrap.min2cc7.css	(from https://www.gotur.kz/)
00:01:11	55527/55527	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-d8e7%22	https://www.gotur.kz/dist/desktop/common/main/css/main.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/common/main/css/main.min2cc7.css	(from https://www.gotur.kz/)
00:01:11	3498/3498	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-daa%22	https://www.gotur.kz/dist/desktop/pages/site-index/css/site-index.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/pages/site-index/css/site-index.min2cc7.css	(from https://www.gotur.kz/)
00:01:12	522/522	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-20a%22	https://www.gotur.kz/dist/desktop/widgets/banner/css/banner.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/banner/css/banner.min2cc7.css	(from https://www.gotur.kz/)
00:01:13	3168/3168	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-c60%22	https://www.gotur.kz/dist/desktop/widgets/countries-best-price/css/countries-best-price.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/countries-best-price/css/countries-best-price.min2cc7.css	(from https://www.gotur.kz/)
00:01:14	5693/5693	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-163d%22	https://www.gotur.kz/dist/desktop/widgets/hot-slider/css/hot-slider.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/hot-slider/css/hot-slider.min2cc7.css	(from https://www.gotur.kz/)
00:01:15	1971/1971	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-7b3%22	https://www.gotur.kz/dist/desktop/widgets/subscription-form/column/css/column.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/subscription-form/column/css/column.min2cc7.css	(from https://www.gotur.kz/)
00:01:16	1462/1462	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-5b6%22	https://www.gotur.kz/dist/desktop/widgets/subscription-form/compact/css/compact.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/subscription-form/compact/css/compact.min2cc7.css	(from https://www.gotur.kz/)
00:01:17	2690/2690	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-a82%22	https://www.gotur.kz/dist/desktop/pages/blog/css/blog.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/pages/blog/css/blog.min2cc7.css	(from https://www.gotur.kz/)
00:01:19	27936/27936	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-6d20%22	https://www.gotur.kz/dist/desktop/widgets/find-form/form/css/form.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/find-form/form/css/form.min2cc7.css	(from https://www.gotur.kz/)
00:01:19	8651/8651	---MCZ	200	added ('OK')	text/css	etag:W/%2267207107-21cb%22	https://www.gotur.kz/dist/desktop/widgets/callback/core/css/core.min.css?v=1730179335	./gotur-website/www.gotur.kz/dist/desktop/widgets/callback/core/css/core.min2cc7.css	(from https://www.gotur.kz/)
